obs,gaminvLL,gaminvUL
1632,1553.755455,1713.164109
1633,1554.731194,1714.188363
1634,1555.706941,1715.212609
1635,1556.682695,1716.236848
1636,1557.658456,1717.261079
1637,1558.634225,1718.285303
1638,1559.610001,1719.309519
1639,1560.585784,1720.333728
1640,1561.561575,1721.35793
1641,1562.537374,1722.382125
1642,1563.513179,1723.406312
1643,1564.488992,1724.430491
1644,1565.464813,1725.454664
1645,1566.44064,1726.478829
1646,1567.416475,1727.502986
1647,1568.392318,1728.527137
1648,1569.368168,1729.55128
1649,1570.344025,1730.575415
1650,1571.319889,1731.599544
1651,1572.295761,1732.623665
1652,1573.27164,1733.647778
1653,1574.247526,1734.671885
1654,1575.22342,1735.695984
1655,1576.199321,1736.720076
1656,1577.175229,1737.74416
1657,1578.151145,1738.768238
1658,1579.127067,1739.792308
1659,1580.102997,1740.816371
1660,1581.078935,1741.840426
1661,1582.054879,1742.864475
1662,1583.030831,1743.888516
1663,1584.00679,1744.91255
1664,1584.982756,1745.936576
1665,1585.958729,1746.960596
1666,1586.93471,1747.984608
1667,1587.910698,1749.008613
1668,1588.886693,1750.032611
1669,1589.862695,1751.056601
1670,1590.838705,1752.080585
1671,1591.814721,1753.104561
1672,1592.790745,1754.12853
1673,1593.766776,1755.152492
1674,1594.742814,1756.176447
1675,1595.718859,1757.200395
1676,1596.694912,1758.224335
1677,1597.670971,1759.248268
1678,1598.647038,1760.272195
1679,1599.623112,1761.296114
1680,1600.599193,1762.320026
1681,1601.575281,1763.343931
1682,1602.551376,1764.367828
1683,1603.527479,1765.391719
1684,1604.503588,1766.415603
1685,1605.479704,1767.439479
1686,1606.455828,1768.463349
1687,1607.431959,1769.487211
1688,1608.408096,1770.511066
1689,1609.384241,1771.534914
1690,1610.360393,1772.558756
1691,1611.336552,1773.58259
1692,1612.312718,1774.606417
1693,1613.288891,1775.630237
1694,1614.265071,1776.65405
1695,1615.241258,1777.677856
1696,1616.217452,1778.701655
1697,1617.193653,1779.725447
1698,1618.169862,1780.749231
1699,1619.146077,1781.773009
1700,1620.122299,1782.79678
1701,1621.098528,1783.820544
1702,1622.074764,1784.844301
1703,1623.051007,1785.868051
1704,1624.027257,1786.891794
1705,1625.003514,1787.91553
1706,1625.979778,1788.939259
1707,1626.956049,1789.962982
